iter	F1	Logloss
0	0.763282286	0.6691921269
1	0.7757899999	0.6476242503
2	0.7792512174	0.6289370447
3	0.7780907551	0.6114190092
4	0.7811176962	0.5951565069
5	0.7837098125	0.5821307646
6	0.7836806116	0.5694183688
7	0.787729883	0.5582385023
8	0.7938968974	0.5483697927
9	0.7919655129	0.5389569043
10	0.7982265404	0.5299754895
11	0.80118522	0.5212593117
12	0.8046699193	0.5152824525
13	0.8087836714	0.5080888015
14	0.8094879762	0.5010433826
15	0.8148516105	0.4949901629
16	0.8151448596	0.4892136952
17	0.8141924992	0.4849830772
18	0.8144482036	0.4801079079
19	0.8172010361	0.4755491104
20	0.8172010361	0.4719749491
21	0.8175113622	0.4672799223
22	0.8172359633	0.4633828511
23	0.8175803381	0.4594389388
24	0.8222414379	0.4563544609
25	0.8215914205	0.4542524723
26	0.8238321059	0.4520276725
27	0.8260975426	0.4491111877
28	0.8257929495	0.4466905829
29	0.8250103016	0.4446142104
30	0.8277472658	0.4420238071
31	0.8297237029	0.4397165477
32	0.8320446907	0.4370849146
33	0.8327531423	0.433351006
34	0.8331055938	0.430448232
35	0.8340985572	0.4284968664
36	0.8351156141	0.4264593329
37	0.8364606617	0.423891667
38	0.8374681084	0.4220415462
39	0.8388146453	0.4200417295
40	0.838819674	0.4182327409
41	0.8401585895	0.41574368
42	0.8398203747	0.4142073937
43	0.8411684832	0.4122637373
44	0.8418441618	0.4104434288
45	0.8415055258	0.4087252434
46	0.8435373667	0.4066188147
47	0.8448931106	0.4047870644
48	0.8455690432	0.402655483
49	0.8462494483	0.4008664262
50	0.8486180445	0.3994206992
51	0.8475992317	0.3978445737
52	0.848963907	0.3967606443
53	0.8496478939	0.3951542917
54	0.8506588	0.3928940197
55	0.8530548072	0.3911239677
56	0.8537277825	0.3895434264
57	0.8537277825	0.3875605651
58	0.8554248054	0.3861453823
59	0.8550889394	0.384747838
60	0.8554248054	0.3829440458
61	0.8571420278	0.3808054871
62	0.8571420278	0.3790463891
63	0.8584832779	0.3771435966
64	0.8584832779	0.3755885739
65	0.8591759977	0.3732988067
66	0.8595108852	0.3718211448
67	0.8591993373	0.3701037157
68	0.8595346853	0.3688072942
69	0.8609255971	0.3673271683
70	0.8630204258	0.3651703123
71	0.8629916513	0.3641389571
72	0.867171214	0.3623589513
73	0.8678765837	0.3607877295
74	0.8692907712	0.3590079677
75	0.8695877304	0.3574318178
76	0.8706301311	0.3557919935
77	0.8717147682	0.353689517
78	0.8713799027	0.3523052931
79	0.872049435	0.3509667879
80	0.872426095	0.3495114975
81	0.8738079654	0.3480325182
82	0.8738079654	0.3469897454
83	0.8738079654	0.3457458981
84	0.8738079654	0.3446896586
85	0.873473374	0.3433741835
86	0.8738079654	0.3422731036
87	0.8755245064	0.3409691436
88	0.8755245064	0.3394287587
89	0.8758583644	0.3380509511
90	0.8789568176	0.3364652378
91	0.8799545928	0.3354763322
92	0.8796221985	0.3347132879
93	0.881004843	0.3337128428
94	0.8803401356	0.3326619217
95	0.8813369009	0.3313151949
96	0.8820004256	0.3305181909
97	0.8830513468	0.3293386035
98	0.8837138051	0.3283445747
99	0.8830513468	0.3270398584
100	0.8850963305	0.3255203324
101	0.8861490124	0.3244483085
102	0.8847655363	0.323172258
103	0.8857573306	0.3223768641
104	0.8861490124	0.3214641483
105	0.8875331028	0.3203128362
106	0.887202787	0.3193227596
107	0.8879272858	0.3183125072
108	0.8879272858	0.317636143
109	0.888917808	0.3165317695
110	0.8896436529	0.3156628939
111	0.8896436529	0.314669353
112	0.8896436529	0.3136749582
113	0.8907005732	0.3127644136
114	0.8913597631	0.3120807306
115	0.892417496	0.3113251028
116	0.8928177127	0.3105552763
117	0.8951938073	0.3093472916
118	0.8955222862	0.308436259
119	0.8959260257	0.3077896341
120	0.8959260257	0.3065326371
121	0.8972389723	0.3057450257
122	0.8969110285	0.3050086709
123	0.8973164075	0.3038389885
124	0.8979725902	0.3031478646
125	0.8983003887	0.3024552281
126	0.8987074087	0.3014722264
127	0.8976445965	0.3007819564
128	0.8976445965	0.3000517251
129	0.8996903674	0.298959623
130	0.9006715729	0.2978638126
131	0.9009982527	0.2967966435
132	0.901407887	0.2956596277
133	0.9010809648	0.2946656233
134	0.9010809648	0.2941727196
135	0.9010809648	0.2931737871
136	0.9017346148	0.2921103507
137	0.9020611483	0.2911446216
138	0.9020611483	0.290486384
139	0.9020611483	0.2897970898
140	0.9023874876	0.2891581497
141	0.9023874876	0.288174782
142	0.9030395847	0.2873805592
143	0.902713633	0.2866906063
144	0.9030395847	0.2860490802
145	0.9033653427	0.2853556142
146	0.9030395847	0.2845181367
147	0.9030395847	0.2837773662
148	0.9030395847	0.2832647991
149	0.9033653427	0.28264057
150	0.9040162788	0.2818591309
151	0.9036909074	0.280625042
152	0.9040162788	0.2798144249
153	0.9036909074	0.2793108112
154	0.9033653427	0.2786163938
155	0.9043414571	0.2777006528
156	0.9041675941	0.2767252872
157	0.9055514674	0.2757837836
158	0.9058752538	0.2748284962
159	0.906288482	0.2743502791
160	0.9058752538	0.2736958961
161	0.9058752538	0.2730501982
162	0.9058752538	0.272552952
163	0.9061988486	0.2719994235
164	0.9058752538	0.2711028336
165	0.906288482	0.2700217586
166	0.9066123136	0.2692273162
167	0.9066123136	0.2687824002
168	0.9069359535	0.2679770038
169	0.9072594019	0.2668524789
170	0.9072594019	0.2662575742
171	0.9075826588	0.2646163593
172	0.9075826588	0.2640564877
173	0.9086441628	0.2630435517
174	0.9082285994	0.262657138
175	0.9079057246	0.2615852117
176	0.9086441628	0.2610019684
177	0.9086441628	0.2603581734
178	0.9085512833	0.2593135953
179	0.9085512833	0.2587346702
180	0.9099346924	0.2580737734
181	0.9099346924	0.2573535202
182	0.9099346924	0.2568649103
183	0.9102568481	0.2561823496
184	0.9109967054	0.2553401147
185	0.9116405313	0.2547420873
186	0.9116405313	0.2540574528
187	0.9101618458	0.2533263433
188	0.9104833881	0.2526460758
189	0.9121857903	0.2516714176
190	0.9118647743	0.2511472135
191	0.9116405313	0.2505964173
192	0.9122835964	0.2500856312
193	0.9122835964	0.2492829916
194	0.9131477029	0.2477676862
195	0.912925902	0.2467749015
196	0.912925902	0.2458819467
197	0.912925902	0.2451781611
198	0.9138879394	0.2443724964
199	0.9142082402	0.2438442912
200	0.9142082402	0.2433858108
201	0.9142082402	0.2428833926
202	0.9135674495	0.2417294702
203	0.9135674495	0.2412271983
204	0.9135674495	0.2407899671
205	0.9131477029	0.2399602232
206	0.9131477029	0.2392890799
207	0.9137880334	0.2387481155
208	0.9141079158	0.2383302062
209	0.9133687534	0.2377812398
210	0.9136884065	0.2374480102
211	0.9140078715	0.2369393709
212	0.9143271487	0.2365362214
213	0.9143271487	0.2358253121
214	0.9143271487	0.2354837145
215	0.9146462382	0.2349199639
216	0.9146462382	0.2345687786
217	0.9149651402	0.2341761439
218	0.9149651402	0.2337162485
219	0.9156023824	0.2330868962
220	0.9156023824	0.2327043372
221	0.9156023824	0.2324106296
222	0.9156023824	0.231918897
223	0.9152838549	0.2310236245
224	0.9159207228	0.2302694361
225	0.9159207228	0.23001952
226	0.9156023824	0.2296753852
227	0.916341828	0.2287664264
228	0.9166602083	0.2283770364
229	0.916341828	0.2277051857
230	0.916341828	0.226086269
231	0.9166602083	0.2256239339
232	0.9166602083	0.2250513519
233	0.9182493073	0.2242538843
234	0.9185665679	0.2239719602
235	0.9185665679	0.2234699811
236	0.9185665679	0.2230162824
237	0.9182493073	0.2222194492
238	0.9188836424	0.2215374983
239	0.9185665679	0.2208355912
240	0.9182493073	0.2204658891
241	0.919200531	0.2196658111
242	0.9188836424	0.2193270924
243	0.9203667422	0.2185955437
244	0.9216334846	0.2175605534
245	0.9216334846	0.217005927
246	0.9219497059	0.2163323929
247	0.9225815924	0.2158617387
248	0.9224702566	0.2150946446
249	0.9224702566	0.2148058164
250	0.9227855162	0.2141383081
251	0.9227855162	0.2137208624
252	0.9227855162	0.2132354972
253	0.9227855162	0.2128107325
254	0.9235280344	0.2112743486
255	0.9238431457	0.2108861541
256	0.9238431457	0.2104402378
257	0.9235280344	0.2092771423
258	0.9245868956	0.2087750657
259	0.9245868956	0.2085808952
260	0.9245868956	0.2079951879
261	0.9245868956	0.2070962803
262	0.9245868956	0.2066130865
263	0.9256468419	0.20545892
264	0.9256468419	0.2049533303
265	0.9256468419	0.2046540116
266	0.9259616551	0.2041413713
267	0.9262762839	0.2037413201
268	0.9259616551	0.2028872287
269	0.9259616551	0.2019745738
270	0.9262762839	0.201564447
271	0.9259616551	0.2012579192
272	0.9270225383	0.2005826773
273	0.9270225383	0.2000611445
274	0.9270225383	0.1997195958
275	0.9276513121	0.1990925733
276	0.9273370173	0.1986986944
277	0.9273370173	0.1979644743
278	0.9273370173	0.1974742665
279	0.9273370173	0.1970222511
280	0.9280845094	0.1958626687
281	0.9290269432	0.1954269745
282	0.9297757421	0.1947861802
283	0.9300895518	0.1939059847
284	0.9297757421	0.1931454532
285	0.9297757421	0.1927965734
286	0.9297757421	0.1924033166
287	0.9307166195	0.1920525948
288	0.9311532502	0.1915805744
289	0.9314667248	0.1912497845
290	0.9304031775	0.1908508433
291	0.9322180402	0.1903471321
292	0.9322180402	0.1901625372
293	0.9322180402	0.1897363819
294	0.9325313631	0.1893381483
295	0.9322180402	0.1888775942
296	0.9328445022	0.1884499264
297	0.9331574576	0.187906998
298	0.9328445022	0.1874618258
299	0.9331574576	0.1868948671
300	0.933910081	0.1865922915
301	0.9346639195	0.186046582
302	0.9346639195	0.185867891
303	0.9346639195	0.1855443711
304	0.9359141554	0.1848605905
305	0.9359141554	0.1844444012
306	0.936226256	0.1836504101
307	0.936226256	0.1834862593
308	0.936226256	0.1831598851
309	0.9365381736	0.1827639325
310	0.9365381736	0.1825064048
311	0.9368499083	0.182060769
312	0.937916758	0.1816983614
313	0.9377840168	0.1808177633
314	0.9377840168	0.1804032695
315	0.9385393732	0.17959386
316	0.9392959475	0.1788155924
317	0.9388504072	0.1784454145
318	0.9402285886	0.1777948861
319	0.9397824163	0.1775530208
320	0.9397824163	0.1773042635
321	0.9397824163	0.1768724971
322	0.9397824163	0.1763721038
323	0.9417793513	0.1758460211
324	0.9422275528	0.175034172
