iter	F1	Logloss
0	0.7570983384	0.6731994783
1	0.7784517554	0.6507012942
2	0.7926586745	0.6315699881
3	0.7896600111	0.6158035475
4	0.8071390211	0.5987245837
5	0.8092331311	0.5867222545
6	0.8118086413	0.5746602154
7	0.8084887652	0.5607453961
8	0.8102584523	0.5508618892
9	0.8155593018	0.5417699826
10	0.8231637757	0.5305600467
11	0.8268992867	0.5225687811
12	0.8273971272	0.5135195681
13	0.8260845588	0.5059969867
14	0.8294421275	0.4998945773
15	0.826140119	0.4944731613
16	0.8319119978	0.4879346063
17	0.8310944567	0.4828181141
18	0.833165058	0.4772249174
19	0.8348316289	0.4717656566
20	0.8327641353	0.467731386
21	0.8352597285	0.4632730461
22	0.8352597285	0.4596958411
23	0.8389714113	0.4549597488
24	0.8385640631	0.4511827682
25	0.8373225782	0.4461196125
26	0.8385640631	0.4423455899
27	0.8430946506	0.439134452
28	0.8426832661	0.4364748238
29	0.8455493661	0.4319381716
30	0.8430957248	0.4296927628
31	0.846378807	0.424363809
32	0.8496675228	0.4207656841
33	0.8488396407	0.417291523
34	0.8480227285	0.4149107146
35	0.8525522695	0.4119221627
36	0.8517208408	0.4098455766
37	0.8500373486	0.407409358
38	0.8504565489	0.405142023
39	0.8521119418	0.4026862568
40	0.8537357912	0.4008490293
41	0.8558038928	0.3979829471
42	0.8549506665	0.3958834589
43	0.8574228034	0.3935752601
44	0.8566139211	0.391478242
45	0.8586611661	0.3897809276
46	0.8590371393	0.3875382329
47	0.8602449008	0.3854385617
48	0.8590371393	0.3835221986
49	0.8610798302	0.3814860495
50	0.8610798302	0.3800258979
51	0.8619163819	0.3776900092
52	0.8610486556	0.3762430317
53	0.8638886808	0.3737048973
54	0.8618188885	0.3719150902
55	0.8643253808	0.3700603279
56	0.8622853222	0.3681052356
57	0.8639245895	0.3668494949
58	0.8643253808	0.3649939701
59	0.8679156362	0.363494449
60	0.8717685946	0.3617363876
61	0.8700506178	0.3605063851
62	0.8704677444	0.3594742369
