iter	Passed	Remaining
0	51	41055
1	99	39530
2	157	41964
3	214	42611
4	268	42658
5	317	42078
6	408	46328
7	459	45536
8	509	44789
9	566	44724
10	616	44254
11	669	43973
12	719	43531
13	770	43248
14	821	43015
15	876	42951
16	933	42977
17	987	42894
18	1043	42886
19	1099	42866
20	1154	42837
21	1210	42811
22	1263	42691
23	1310	42379
24	1367	42407
25	1416	42172
26	1471	42122
27	1520	41933
28	1569	41717
29	1616	41478
30	1674	41537
31	1723	41374
32	1774	41252
33	1827	41172
34	1873	40955
35	1921	40782
36	1967	40565
37	2015	40408
38	2059	40191
39	2106	40027
40	2152	39850
41	2202	39750
42	2246	39547
43	2293	39409
44	2344	39330
45	2394	39251
46	2444	39169
47	2491	39038
48	2546	39035
49	2600	39011
50	2650	38930
51	2707	38947
52	2759	38898
53	2812	38856
54	2870	38876
55	2928	38907
56	2980	38857
57	3033	38807
58	3084	38738
59	3136	38678
60	3191	38666
61	3247	38653
62	3302	38634
63	3357	38615
64	3408	38541
65	3455	38430
66	3506	38358
67	3555	38277
68	3603	38173
69	3651	38076
70	3697	37967
71	3759	38013
72	3806	37905
73	3853	37807
74	3901	37710
75	3948	37617
76	3998	37545
77	4046	37459
78	4094	37372
79	4144	37298
80	4193	37219
81	4246	37181
82	4296	37114
83	4344	37028
84	4394	36964
85	4441	36876
86	4491	36810
87	4539	36728
88	4585	36631
89	4637	36581
90	4685	36501
91	4735	36441
92	4784	36372
93	4831	36288
94	4879	36210
95	4926	36130
96	4977	36074
97	5029	36030
98	5077	35952
99	5127	35891
100	5175	35819
101	5223	35747
102	5271	35675
103	5321	35610
104	5370	35548
105	5419	35480
106	5467	35408
107	5514	35334
108	5566	35286
109	5612	35203
110	5659	35128
111	5712	35092
112	5775	35115
113	5822	35039
114	5870	34966
115	5920	34912
116	5968	34839
117	6014	34759
118	6065	34709
119	6113	34645
120	6163	34588
121	6211	34522
122	6260	34458
123	6305	34377
124	6354	34311
125	6400	34237
126	6448	34173
127	6496	34107
128	6546	34053
129	6592	33976
130	6639	33909
131	6688	33845
132	6737	33789
133	6789	33746
134	6837	33679
135	6888	33634
136	6940	33589
137	6993	33546
138	7044	33497
139	7099	33468
140	7154	33440
141	7204	33383
142	7255	33332
143	7303	33271
144	7353	33215
145	7405	33171
146	7452	33104
147	7499	33037
148	7545	32966
149	7593	32904
150	7647	32868
151	7699	32824
152	7766	32840
153	7819	32802
154	7867	32740
155	7915	32677
156	7975	32665
157	8038	32660
158	8085	32595
159	8133	32532
160	8183	32477
161	8231	32419
162	8283	32373
163	8332	32312
164	8380	32253
165	8427	32185
166	8476	32128
167	8522	32060
168	8569	31995
169	8621	31951
170	8667	31880
171	8711	31807
172	8759	31747
173	8810	31695
174	8856	31631
175	8917	31615
176	8966	31559
177	9021	31523
178	9070	31467
179	9117	31403
180	9167	31352
181	9213	31284
182	9259	31217
183	9307	31160
184	9356	31102
185	9406	31050
186	9455	30997
187	9501	30930
188	9551	30878
189	9598	30817
190	9646	30757
191	9694	30699
192	9749	30662
193	9803	30623
194	9871	30626
195	9917	30563
196	9968	30511
197	10018	30459
198	10067	30405
199	10119	30357
200	10165	30295
201	10214	30237
202	10261	30177
203	10308	30118
204	10358	30064
205	10407	30011
206	10456	29953
207	10502	29892
208	10549	29832
209	10596	29770
210	10642	29708
211	10693	29659
212	10740	29598
213	10794	29559
214	10842	29500
215	10889	29441
216	10944	29404
217	10990	29342
218	11043	29298
219	11111	29294
220	11171	29267
221	11228	29235
222	11285	29201
223	11337	29153
224	11389	29107
225	11442	29061
226	11491	29007
227	11542	28957
228	11601	28927
229	11657	28890
230	11712	28850
231	11762	28797
232	11809	28738
233	11860	28687
234	11916	28650
235	11972	28613
236	12026	28569
237	12087	28542
238	12139	28494
239	12189	28441
240	12239	28388
241	12297	28355
242	12349	28306
243	12396	28247
244	12451	28205
245	12502	28155
246	12550	28099
247	12601	28049
248	12653	27999
249	12706	27954
250	12754	27896
251	12803	27842
252	12851	27786
253	12899	27729
254	12951	27679
255	12998	27621
256	13047	27567
257	13096	27513
258	13147	27462
259	13195	27405
260	13247	27358
261	13296	27302
