iter	Logloss
0	0.6787256087
1	0.6630327026
2	0.6504245184
3	0.636844886
4	0.6252941756
5	0.6136102367
6	0.6024637191
7	0.5919473929
8	0.5802622438
9	0.5705848224
10	0.5637499354
11	0.5567252624
12	0.5479674509
13	0.5411747185
14	0.533891441
15	0.5279788016
16	0.5216309527
17	0.5155613682
18	0.5060897203
19	0.5017432322
20	0.4942712108
21	0.4885435515
22	0.4837266344
23	0.4796632973
24	0.4734739117
25	0.4692367334
26	0.4655004373
27	0.4612433926
28	0.4578631816
29	0.4539861337
30	0.4512019594
31	0.4480882305
32	0.4437575958
33	0.4413208809
34	0.4370953668
35	0.4346078334
36	0.4315463361
37	0.4290200486
38	0.4257710613
39	0.4237958894
40	0.4220467941
41	0.418472001
42	0.4170130615
43	0.4155891778
44	0.4118086021
45	0.4098001288
46	0.4078270787
47	0.4059807226
48	0.4039805829
49	0.40082573
50	0.3989126958
51	0.3973908407
52	0.3952675947
53	0.393467485
54	0.3917664339
55	0.3889568207
56	0.3874260156
57	0.385998685
58	0.3839857018
59	0.3825361689
60	0.381271684
61	0.3795747606
62	0.3778031739
63	0.3767427928
64	0.3757697027
65	0.3746570958
66	0.3727202683
67	0.3716091952
68	0.3703223372
69	0.3692358171
70	0.3676134209
71	0.3664759851
72	0.3650036203
73	0.3637611857
74	0.3626191069
75	0.3615606081
76	0.3604995974
77	0.3597302448
78	0.3585892778
79	0.357382972
80	0.3563850963
81	0.3554733387
82	0.3543506116
83	0.3528355216
84	0.3514815157
85	0.3504656348
86	0.3495678426
87	0.3480259452
88	0.3473466612
89	0.3465286008
90	0.3457547407
91	0.3448561253
92	0.343977798
93	0.3430508412
94	0.3419194165
95	0.3413699981
96	0.3405345119
97	0.3396917796
98	0.3388262696
99	0.3376211405
100	0.3368539154
101	0.3363893177
102	0.3355492044
103	0.3350829862
104	0.3338430634
105	0.3330239708
106	0.332153805
107	0.3314902665
108	0.3307323178
109	0.3300372424
110	0.3292255913
111	0.3283098062
112	0.327694255
113	0.3271689809
114	0.3265556511
115	0.3257166554
116	0.3249805628
117	0.3244002286
118	0.3237553495
119	0.3231363737
120	0.322212415
121	0.3209128877
122	0.3206524054
123	0.3200022081
124	0.3194459449
125	0.3186660089
126	0.3178808371
127	0.3171431288
128	0.3164170599
129	0.3155031936
130	0.3148096481
131	0.3144288158
132	0.3139834881
133	0.3130839252
134	0.3125730338
135	0.3122186188
136	0.3116010733
137	0.3108511744
138	0.3102694969
139	0.3094922366
140	0.3087020449
141	0.3081082978
142	0.3076417041
143	0.3071765723
