iter	Logloss
144	0.3066646339
145	0.3060626507
146	0.3055998875
147	0.3048014976
148	0.3042905697
149	0.3037722006
150	0.3033015614
151	0.3028885629
152	0.3025383927
153	0.3018936345
154	0.3012123269
155	0.30078269
156	0.3001683918
157	0.2997046377
158	0.2991470319
159	0.2987060147
160	0.2980441484
161	0.2975336399
162	0.2969616598
163	0.2963878014
164	0.2958855574
165	0.2952634579
166	0.2947675928
167	0.2943296916
168	0.294052138
169	0.2934361936
170	0.2925296
171	0.2919707619
172	0.2914592417
173	0.2909148224
174	0.2905165537
175	0.289964687
176	0.2893841887
177	0.2889032751
178	0.2884212171
179	0.2877530519
180	0.2873957312
181	0.2868654202
182	0.2863981275
183	0.2859665503
184	0.2854504836
185	0.2850352979
186	0.2847218297
187	0.2842183684
188	0.2836013665
189	0.283211979
190	0.2827332494
191	0.2821969
192	0.2818351074
193	0.2814458775
194	0.2811956716
195	0.2806997401
196	0.2799125205
197	0.2794326988
198	0.2788190002
199	0.2780744769
200	0.2777071001
201	0.27725485
202	0.276868215
203	0.2762903824
204	0.2757866122
205	0.2752537398
206	0.2747212983
207	0.2739887098
208	0.2735386895
209	0.2732154433
210	0.2727488136
211	0.272254383
212	0.2718811028
213	0.2713529602
214	0.2707909258
215	0.2701363612
216	0.2696339108
217	0.2693007951
218	0.2689743919
219	0.2684546774
220	0.2680560865
221	0.2674812614
222	0.2671001808
223	0.2667221352
224	0.266096189
225	0.2655394
226	0.2649164498
227	0.2645967035
228	0.2640160619
229	0.2635701292
230	0.2630985261
231	0.2624835268
232	0.2620583161
233	0.2617402473
234	0.2613720462
235	0.2608973269
236	0.2604120202
237	0.259981678
238	0.2595304656
239	0.2591315316
240	0.2586049949
241	0.2580177993
242	0.2574884011
243	0.2572793913
244	0.2569054924
245	0.2564114432
246	0.2560634453
247	0.2557617303
248	0.2552863881
249	0.2546398604
250	0.2541182296
251	0.2536975805
252	0.2531325167
253	0.2528894802
254	0.2523737576
255	0.2521011583
256	0.2517189049
257	0.2512100292
258	0.2507916285
259	0.2503251662
260	0.2500130239
261	0.2496222983
262	0.2494248482
263	0.2490491302
264	0.2486929239
265	0.2481898494
266	0.247804901
267	0.2473384195
268	0.2469281112
269	0.2462856333
270	0.2459307101
271	0.2456154405
272	0.2452939055
273	0.2448428581
274	0.2445101014
275	0.2440987105
276	0.2437694323
277	0.2434278069
278	0.2430266067
279	0.2425570807
280	0.2421175284
281	0.2416557808
282	0.24116975
283	0.2406787681
284	0.2403232951
285	0.2399122618
286	0.2394732991
287	0.2390356044
288	0.2386909481
289	0.2383240237
290	0.2377247591
291	0.237368456
292	0.2370893861
293	0.2367948796
294	0.2364552468
295	0.2360817171
296	0.2359178608
297	0.2355066096
298	0.2350716786
299	0.234512337
300	0.2341771605
301	0.2337413749
302	0.2332141078
303	0.2327859265
304	0.2321672364
305	0.231616028
306	0.2310867893
307	0.2308881374
308	0.23048646
309	0.2301604479
310	0.2297038164
311	0.229244072
312	0.2289069924
313	0.2284676923
314	0.2279882759
315	0.2276840257
316	0.2272496104
317	0.2269114886
318	0.2267891828
319	0.2264094827
320	0.2260661737
321	0.2255487994
322	0.2250342253
323	0.2245746501
324	0.2241849829
325	0.2237281157
326	0.2233268727
327	0.2230295525
328	0.2226707347
329	0.2223269369
330	0.2220780313
331	0.221595026
332	0.2213393958
333	0.2209872993
334	0.2205026853
335	0.2202476448
336	0.2199518268
337	0.2194194335
338	0.2190491318
339	0.2186502133
340	0.2183211798
341	0.2180215641
342	0.2177115665
343	0.2171560813
344	0.2166195492
345	0.2161373818
346	0.2156416642
347	0.2152862041
348	0.2148945964
349	0.2145729882
350	0.2141991201
351	0.2139426274
352	0.2136345387
353	0.2133556487
354	0.2129833824
355	0.2124424334
356	0.2119045191
357	0.2116197237
358	0.2112770105
359	0.2110858666
360	0.2105919847
361	0.2101265892
362	0.2095978211
363	0.209226394
364	0.2088181377
365	0.2084868148
366	0.207954645
367	0.207695953
368	0.207459247
369	0.2071447556
370	0.2068434253
371	0.2065157792
372	0.2061110386
373	0.2058164273
374	0.205639297
375	0.205357565
376	0.2049909719
377	0.2046620271
378	0.2042137573
379	0.2039270822
380	0.2036514659
381	0.2033954517
382	0.2030711017
383	0.2027282149
384	0.2023164751
385	0.2019940571
386	0.201570096
387	0.2012359179
388	0.2008977454
389	0.2006441682
390	0.2004539505
391	0.199984304
392	0.1997456177
393	0.1996461469
394	0.1994297417
395	0.1989778348
396	0.1988379494
397	0.1987590821
398	0.1984645655
399	0.1982260003
400	0.1979583647
401	0.1976075306
402	0.1974832167
403	0.1970831959
404	0.1967115555
405	0.1963602203
406	0.1961454796
407	0.1958049032
408	0.1954840363
409	0.1951770041
410	0.1946629186
411	0.1943684976
412	0.1943214779
413	0.1940026582
414	0.1936143252
415	0.1933808053
416	0.1930795642
417	0.1928178568
418	0.1926556275
419	0.192343278
420	0.192069858
421	0.1917394104
422	0.1912872329
423	0.1909291111
424	0.1905549703
425	0.190135185
426	0.1898954705
427	0.1896152382
428	0.1893254657
429	0.1891317754
430	0.1889501191
431	0.1886598627
432	0.1885150956
433	0.1883024779
434	0.1879925182
435	0.1877542695
436	0.1875183693
437	0.1873004683
438	0.1869236928
439	0.186650118
440	0.1863466004
441	0.1860417762
442	0.1857990598
443	0.1856745691
444	0.1854253077
445	0.1849615826
446	0.184753998
447	0.1846289452
448	0.1845307362
449	0.1842926839
450	0.1840979751
451	0.1837113121
452	0.1836062146
453	0.1832806621
454	0.1830075137
455	0.1827280731
456	0.1825336047
457	0.1821785126
458	0.1817149995
459	0.1815088305
460	0.1812498862
461	0.1809239655
462	0.18062858
463	0.1804935042
464	0.1804112791
465	0.1802841121
466	0.1799438077
467	0.1796155015
468	0.179495118
469	0.1792410414
470	0.1790356307
471	0.1785797876
472	0.1782836484
473	0.1780265995
474	0.1776750097
475	0.1773659306
476	0.1770321131
477	0.1767920815
478	0.1765434425
479	0.1762944026
480	0.1761369343
481	0.1756695757
482	0.17538769
483	0.1749869856
484	0.1747026595
485	0.1743663539
486	0.1740211642
487	0.1736774429
488	0.1735906928
489	0.1733715743
490	0.1732101899
491	0.1729670177
492	0.1727651679
493	0.172555779
494	0.1723191153
495	0.1720716215
496	0.1717368378
497	0.1715489279
498	0.1713500047
499	0.1710683859
500	0.1707955212
501	0.1705913259
502	0.1704527126
503	0.1702662884
504	0.1699854921
505	0.1698056952
506	0.1695338638
507	0.1693173216
508	0.1689957977
509	0.1688463031
510	0.1684811209
511	0.1682329782
512	0.1680066737
513	0.1677460817
514	0.1673539752
515	0.167148389
516	0.1670413106
517	0.1667702065
518	0.1665724475
519	0.1663124146
520	0.166152221
521	0.1658842383
522	0.1656346617
523	0.1654612029
524	0.1652613597
525	0.1649495676
526	0.1647794821
527	0.1645658415
528	0.1643148162
529	0.1639856021
530	0.1635410721
531	0.1633800847
532	0.1632384242
533	0.163134582
534	0.1627489172
535	0.1625660948
536	0.1621758579
537	0.1619385109
538	0.16150023
539	0.1612684291
540	0.1609581077
541	0.1607645341
542	0.1604747038
543	0.1603246072
544	0.1600658971
545	0.159898848
546	0.1596903655
547	0.1594601571
548	0.1591491102
549	0.1589239822
550	0.1587728759
551	0.1585188137
552	0.1584569243
553	0.1583301506
554	0.158163896
555	0.1581231589
556	0.1578854118
557	0.1575581593
558	0.1572535006
559	0.1570238669
560	0.156810554
561	0.1566171709
562	0.1563854085
563	0.1562162784
564	0.1558621519
565	0.1557205773
566	0.1555236688
567	0.1554418287
568	0.1551030957
569	0.154947014
570	0.1547737066
571	0.1546450005
572	0.1544006746
573	0.154052058
574	0.1537791181
575	0.1536327625
576	0.153553591
577	0.1533735797
578	0.153066067
579	0.152839017
580	0.1526206964
581	0.1523619356
582	0.1521243473
583	0.1519603396
584	0.1518442392
585	0.1515781608
586	0.1515089574
587	0.1512092165
588	0.1509113033
589	0.1507797898
590	0.150654782
591	0.1505255501
592	0.150368358
593	0.1502143895
594	0.1500471609
595	0.1498662228
596	0.1496508518
597	0.1494381355
598	0.1492413009
599	0.1489568
600	0.1489249274
601	0.1488004554
602	0.1486961621
603	0.1484805055
604	0.1483329532
605	0.1481821947
606	0.1479912091
607	0.1476400848
608	0.1474223062
609	0.1471861719
610	0.1470755321
611	0.1468102287
612	0.1467210491
613	0.1464513701
614	0.1461848601
615	0.1460429603
616	0.1458110127
617	0.1456429822
618	0.1454060335
619	0.1452594552
620	0.1451108368
621	0.1450110207
622	0.1448534787
623	0.1446784181
624	0.1443895543
625	0.144177815
626	0.1440140247
627	0.1437387062
628	0.1436099193
629	0.1434396636
630	0.1433902807
631	0.1431898154
632	0.1429629731
633	0.1428284768
634	0.1427258184
635	0.1426232325
636	0.1424314156
637	0.1422828028
638	0.1420974843
639	0.1419023261
640	0.1417250282
641	0.1414700444
642	0.1412522903
643	0.141106788
644	0.1409562575
645	0.1407844547
646	0.140716398
647	0.1405021721
648	0.1404240672
649	0.1402870994
650	0.1401789261
651	0.1400167218
652	0.1397515615
653	0.1395163467
654	0.1393423101
655	0.1392071963
656	0.1389635794
657	0.1387505623
658	0.1386713683
659	0.1385323704
660	0.1383096149
661	0.1381911081
662	0.1379672548
663	0.1377567731
664	0.1375723238
665	0.1373858067
666	0.1373492578
667	0.1371638224
668	0.1370233782
669	0.1369313528
670	0.1367807881
671	0.1367551557
672	0.1364994312
673	0.1362828026
674	0.1361226376
675	0.1359015507
676	0.1357998734
677	0.1355600591
678	0.1353443989
679	0.1351662843
680	0.1349759239
681	0.1348548446
682	0.1347193807
683	0.1345072718
684	0.1343806542
685	0.1340511032
686	0.1338969125
687	0.1337428227
688	0.1334727296
689	0.133367988
690	0.1332164794
691	0.132983991
692	0.1328665473
693	0.1328066733
694	0.1327010468
695	0.1324839054
696	0.1323520605
697	0.1323326899
698	0.132199136
699	0.1320638796
700	0.1318857869
701	0.1317578437
702	0.1315202277
703	0.1313186152
704	0.1311476399
705	0.1310979729
706	0.1309936553
707	0.1307899133
708	0.1306213975
709	0.1304364003
710	0.1302731945
711	0.1300740997
712	0.1299121124
713	0.1298098952
714	0.1296961364
715	0.1294882404
716	0.1293668453
717	0.1292348863
718	0.1290716094
719	0.1289738384
720	0.1288647734
721	0.1286786473
722	0.1285697207
723	0.1284041235
724	0.1282455949
725	0.1280180468
726	0.1278032493
727	0.1277234923
728	0.1276052247
729	0.1274303701
730	0.1273234202
731	0.1271160091
732	0.1270130126
733	0.1268705456
734	0.126693122
735	0.1265704601
736	0.1264383826
737	0.1260735658
738	0.125958062
739	0.1257659856
740	0.1256093358
741	0.1255151065
742	0.1254178647
743	0.1252717516
744	0.1250770123
745	0.1249752087
746	0.1248134731
747	0.1245375473
748	0.1242952484
749	0.1241731925
750	0.1240619921
751	0.1239134431
752	0.1237626481
753	0.1235812238
754	0.123567217
755	0.123463026
756	0.123336288
757	0.1232537678
758	0.1231145544
759	0.1228172833
760	0.1227126654
761	0.1226026089
762	0.1224734055
763	0.1222543976
764	0.1220997301
765	0.1220213323
766	0.1218941879
767	0.1217304609
768	0.1215677018
769	0.1214959597
770	0.121359144
771	0.1212244475
772	0.121052024
773	0.1209238622
774	0.1207846905
775	0.1205967744
776	0.1204643946
777	0.1203815672
778	0.1202344056
779	0.1200630858
780	0.1199774376
781	0.1199026592
782	0.1197274458
783	0.1196440461
784	0.1195202899
785	0.1193502926
786	0.1192200085
787	0.1190443633
788	0.1189623739
789	0.1188420425
790	0.1186763919
791	0.1183550537
792	0.1182704587
793	0.1181093954
794	0.1179533444
795	0.1178187311
796	0.1176860229
797	0.117586351
798	0.1174401538
799	0.1172825718
