iter	Passed	Remaining
0	340	272133
1	542	216517
2	720	191439
3	897	178602
4	1111	17679455	1292	171054
6	1504	170445
7	1673	165722
8	1853	162912
9	2024	159913
10	2203	158058
11	2402	157742
12	2607	157828
13	2847	159862
14	3058	160070
15	3226	158108
16	3425	157796
17	3621	157328
18	3800	156200
19	3994	155773
20	4184	155215
21	4400	155632
22	4594	155203
23	4761	153943
24	4955	153623
25	5144	153157
26	5332	152654
27	5521	152244
28	5724	152187
29	5899	151415
30	6059	150311
31	6250	150005
32	6435	149583
33	6654	149928
34	6847	149676
35	7049	149611
36	7238	149273
37	7437	149132
38	7645	149177
39	7836	148885
40	8014	148373
41	8197	147943
42	8405	147976
43	8595	147680
44	8803	147704
45	9003	147585
46	9197	147351
47	9372	146831
48	9542	146255
49	9727	145919
50	9904	145466
51	10063	144764
52	10239	144325
53	10427	144056
54	10641	144137
55	10819	143748
56	11001	143403
57	11174	142955
58	11348	142528
59	11565	142635
60	11749	142336
61	11921	141907
62	12081	141329
63	12259	140987
64	12470	141010
65	12677	140985
66	12845	140529
67	13031	140275
68	13219	140047
69	13386	139602
70	13509	138710
71	13612	137641
72	13738	136824
73	13852	135901
74	13953	134883
75	14059	133934
76	14167	133026
77	14260	132001
78	14384	131282
79	14498	130487
80	14610	129691
81	14718	128878
82	14834	128147
83	14960	127520
84	15060	126688
85	15153	125810
86	15256	125031
87	15358	124266
88	15470	123590
89	15577	122890
90	15693	122271
91	15816	121718
92	15923	121049
93	16041	120479
94	16162	119941
95	16312	119623
96	16422	119018
97	16551	118565
98	16664	117997
99	16803	117623
100	16937	117224
101	17059	116742
102	17190	116330
103	17316	115887
104	17431	115377
105	17554	114930
106	17685	114544
107	17809	114111
108	17924	113632
109	18042	113174
110	18145	112630
111	18243	112066
112	18347	111546
113	18448	111016
114	18543	110454
115	18649	109969
116	18748	109448
117	18847	108930
118	18950	108447
119	19050	107950
120	19165	107549
121	19270	107094
122	19388	106715
123	19494	106277
124	19601	105848
125	19717	105473
126	19819	105026
127	19959	104785
128	20070	104395
129	20179	103999
130	20293	103634
131	20410	103287
132	20522	102923
133	20652	102643
134	20768	102302
135	20891	101998
136	21027	101761
137	21149	101456
138	21257	101088
139	21372	100753
140	21479	100390
141	21589	100040
142	21695	99678
143	21809	99356
144	21922	99027
145	22028	98674
146	22149	98393
147	22266	98091
148	22393	97840
149	22509	97542
150	22622	97233
151	22754	97006
152	22868	96704
153	22968	96349
154	23085	96067
155	23231	95902
156	23332	95559
157	23440	95246
158	23542	94908
159	23643	94572
160	23748	94256
161	23851	93931
162	23958	93629
163	24086	93407
164	24191	93100
165	24306	92834
166	24419	92561
167	24540	92319
168	24656	92059
169	24764	91773
170	24886	91539
171	25001	91286
172	25124	91057
173	25256	90865
174	25395	90698
175	25505	90428
176	25629	90208
177	25734	89925
178	25845	89665
179	25955	89402
180	26063	89134
181	26178	88893
182	26297	88664
183	26424	88464
184	26557	88284
185	26676	88060
186	26797	87843
187	26910	87603
188	27039	87414
189	27164	87212
190	27283	86993
191	27404	86780
192	27513	86532
193	27621	86282
194	27746	86084
195	27865	85869
196	27989	85671
197	28098	85429
198	28226	85248
199	28364	85093
200	28498	84928
201	28620	84728
202	28764	84592
203	28891	84409
204	29030	84258
205	29135	84011
206	29252	83800
207	29378	83616
208	29489	83388
209	29658	83327
210	29757	83067
211	29855	82806
212	29960	82568
213	30062	82320
214	30188	82140
215	30302	81927
216	30414	81711
217	30523	81490
218	30627	81254
219	30746	81058
220	30856	80840
221	30957	80600
222	31061	80369
223	31162	80132
224	31294	79974
225	31430	79827
226	31544	79625
227	31660	79428
228	31769	79216
229	31885	79020
230	32006	78839
231	32128	78658
232	32242	78461
233	32365	78284
234	32466	78057
235	32556	77805
236	32662	77591
237	32785	77417
238	32890	77204
239	32997	76993
240	33093	76760
241	33199	76550
242	33305	76341
243	33414	76142
244	33521	75937
245	33618	75709
246	33734	75526
247	33858	75363
248	33957	75143
249	34053	74916
250	34148	74691
251	34257	74495
252	34372	74314
253	34494	74150
254	34599	73947
255	34720	73781
256	34842	73616
257	34957	73437
258	35061	73236
259	35177	73061
260	35285	72869
261	35400	72693
262	35504	72494
263	35614	72308
264	35725	72124
265	35810	71890
266	35913	71692
267	36044	71551
268	36158	71375
269	36252	71161
270	36376	71007
271	36475	70805
272	36590	70634
273	36696	70447
274	36822	70296
275	36942	70137
276	37050	69955
277	37159	69774
278	37277	69610
279	37388	69435
280	37492	69247
281	37604	69075
282	37713	68897
283	37832	68737
284	37945	68568
285	38073	68426
286	38182	68250
287	38300	68089
288	38421	67936
289	38531	67762
290	38637	67581
291	38749	67412
292	38870	67259
293	39009	67139
294	39101	66936
295	39211	66765
296	39328	66606
297	39433	66428
298	39554	66276
299	39668	66114
300	39799	65979
301	39921	65831
302	40040	65677
303	40146	65502
304	40271	65357
305	40390	65206
306	40513	65058
307	40629	64901
308	40743	64741
309	40873	64606
310	40992	64454
311	41096	64279
312	41207	64115
313	41332	63973
314	41453	63825
315	41578	63684
316	41678	63503
317	41787	63338
318	41894	63170
319	42009	63014
320	42118	62849
321	42230	62689
322	42355	62549
323	42466	62389
324	42550	62188
325	42646	62006
326	42753	61842
327	42859	61676
328	42963	61506
329	43062	61330
330	43169	61168
331	43262	60984
332	43400	60865
333	43500	60691
334	43610	60534
335	43739	60402
336	43863	60263
337	43995	60135
338	44129	60011
339	44245	59862
340	44389	59750
341	44504	59600
342	44614	59442
343	44730	59293
344	44870	59177
345	45002	59049
346	45128	58914
347	45271	58801
348	45453	58737
349	45657	58702
350	45818	58611
351	45969	58506
352	46108	58386
353	46223	58236
354	46335	58083
355	46467	57954
356	46607	57835
357	46719	57681
358	46892	57602
359	46999	57443
360	47084	57258
361	47173	57077
362	47294	56935
363	47399	56775
364	47514	56626
365	47629	56478
366	47727	56310
367	47842	56162
368	47962	56021
369	48079	55876
370	48205	55741
371	48327	55602
372	48446	55460
373	48555	55306
374	48662	55150
375	48780	55007
376	48900	54867
377	49015	54720
378	49118	54561
379	49232	54414
380	49354	54276
381	49468	54130
382	49585	53987
383	49703	53845
384	49802	53683
385	49924	53546
386	50041	53403
387	50140	53242
388	50253	53095
389	50364	52947
390	50477	52801
391	50588	52653
392	50703	52510
393	50816	52364
394	50935	52224
395	51071	52103
396	51178	51951
397	51289	51805
398	51381	51639
399	51496	51496
400	51622	51365
401	51722	51207
402	51829	51058
403	51929	50901
404	52046	50761
405	52176	50634
406	52285	50487
407	52405	50350
408	52528	50216
409	52672	50102
410	52789	49963
411	52909	49827
412	53032	49694
413	53185	49588
414	53314	49460
415	53430	49320
416	53544	49179
417	53663	49041
418	53768	48891
419	53870	48740
420	53969	48584
421	54069	48431
422	54163	48273
423	54262	48120
424	54358	47963
425	54457	47810
426	54560	47660
427	54664	47512
428	54781	47375
429	54904	47243
430	55019	47104
431	55154	46983
432	55254	46832
433	55361	46687
434	55455	46531
435	55581	46403
436	55717	46282
437	55833	46145
438	55936	45997
439	56052	45861
440	56172	45727
441	56300	45600
442	56435	45479
443	56558	45348
444	56682	45218
445	56812	45093
446	56916	44947
447	57023	44804
448	57146	44673
449	57263	44538
450	57373	44398
451	57478	44253
452	57600	44121
453	57730	43997
454	57846	43861
455	57951	43717
456	58060	43577
457	58179	43444
458	58309	43319
459	58431	43188
460	58537	43045
461	58641	42901
462	58744	42757
463	58846	42612
464	58988	42497
465	59089	42351
466	59208	42219
467	59319	42081
468	59446	41954
469	59565	41822
470	59686	41691
471	59818	41569
472	59922	41426
473	60031	41287
474	60146	41152
475	60253	41012
476	60366	40877
477	60485	40745
478	60586	40601
479	60677	40451
480	60780	40309
481	60886	40169
482	60998	40034
483	61106	39895
484	61210	39754
485	61304	39608
486	61396	39460
487	61502	39320
488	61600	39177
489	61704	39037
490	61818	38904
491	61934	38772
492	62048	38639
493	62165	38507
494	62278	38373
495	62396	38243
496	62505	38106
497	62609	37967
498	62708	37826
499	62825	37695
500	62932	37558
501	63046	37426
502	63168	37298
503	63291	37171
504	63425	37050
505	63537	36917
506	63662	36790
507	63793	36668
508	63925	36546
509	64032	36410
510	64131	36270
511	64230	36129
512	64345	35998
513	64442	35857
514	64556	35725
515	64661	35588
516	64768	35453
517	64876	35319
518	64984	35184
519	65096	35051
520	65216	34924
521	65311	34782
522	65411	34644
523	65515	34508
524	65620	34372
525	65723	34236
526	65836	34104
527	65934	33966
528	66033	33828
529	66129	33688
530	66230	33551
531	66328	33413
532	66416	33270
533	66514	33132
534	66612	32995
535	66700	32852
536	66797	32714
537	66898	32578
538	66999	32443
539	67089	32302
540	67202	32172
541	67304	32037
542	67399	31899
543	67495	31762
544	67602	31630
545	67710	31498
546	67801	31359
547	67902	31225
548	68017	31097
549	68133	30969
550	68230	30833
551	68338	30702
552	68440	30569
553	68540	30434
554	68634	30298
555	68726	30160
556	68834	30030
557	68946	29901
558	69058	29773
559	69179	29648
560	69319	29531
561	69418	29397
562	69528	29268
563	69627	29134
564	69741	29007
565	69870	28886
566	69995	28763
567	70111	28636
568	70241	28516
569	70354	28388
570	70480	28266
571	70592	28138
572	70703	28009
573	70821	27884
574	70938	27758
575	71051	27631
576	71181	27510
577	71293	27382
578	71398	27252
579	71496	27119
580	71601	26989
581	71696	26855
582	71807	26727
583	71941	26608
584	72080	26491
585	72175	26357
586	72279	26227
587	72384	26097
588	72476	25963
589	72571	25830
590	72657	25694
591	72765	25566
592	72879	25440
593	72982	25310
594	73107	25188
595	73223	25063
596	73340	24938
597	73456	24813
598	73567	24686
599	73678	24559
600	73787	24432
601	73895	24304
602	74004	24177
603	74124	24053
604	74244	23930
605	74363	23806
606	74496	23686
607	74625	23565
608	74745	23442
609	74912	23333
610	75046	23213
611	75164	23089
612	75280	22964
613	75399	22841
614	75519	22717
615	75660	22599
616	75808	22484
617	75936	22363
618	76038	22234
619	76149	22107
620	76259	21981
621	76362	21852
622	76477	21728
623	76632	21614
624	76749	21489
625	76855	21362
626	76959	21234
627	77061	21106
628	77192	20985
629	77334	20868
630	77473	20749
631	77598	20627
632	77718	20503
633	77844	20382
634	77950	20254
635	78054	20127
636	78184	20006
637	78282	19877
638	78393	19751
639	78502	19625
640	78607	19498
641	78750	19380
642	78861	19255
643	78994	19135
644	79110	19011
645	79226	18886
646	79337	18761
647	79494	18646
648	79630	18527
649	79806	18416
650	79937	18295
651	80042	18169
652	80164	18046
653	80293	17924
654	80397	17797
655	80510	17672
656	80640	17551
657	80767	17429
658	80901	17309
659	81026	17187
660	81200	17075
661	81319	16951
662	81431	16826
663	81547	16702
664	81653	16576
665	81765	16451
666	81900	16330
667	82009	16205
668	82126	16081
669	82232	15955
670	82334	15828
671	82451	15705
672	82546	15577
673	82636	15448
674	82739	15322
675	82826	15193
676	82917	15064
677	83004	14935
678	83086	14806
679	83175	14678
680	83281	14552
681	83371	14424
682	83453	14295
683	83555	14170
684	83648	14043
685	83770	13921
686	83867	13794
687	83957	13667
688	84048	13540
689	84169	13418
690	84249	13289
691	84343	13163
692	84443	13038
693	84522	12909
694	84601	12781
695	84685	12654
696	84776	12528
697	84875	12402
698	84956	12275
699	85043	12149
700	85163	12027
701	85265	11903
702	85362	11778
703	85440	11650
704	85521	11524
705	85619	11399
706	85719	11275
707	85810	11150
708	85890	11024
709	85979	10898
710	86073	10774
711	86183	10651
712	86277	10527
713	86360	10401
714	86447	10277
715	86540	10152
716	86648	10030
717	86764	9909
718	86860	9785
719	86934	9659
720	87002	9532
721	87101	9409
722	87172	9283
723	87229	9156
724	87294	9030
725	87364	8904
726	87429	8779
727	87493	8653
728	87554	8527
729	87617	8401
730	87676	8275
731	87738	8150
732	87803	8025
733	87862	7900
734	87921	7775
735	87980	7650
736	88041	7525
737	88103	7401
738	88165	7277
739	88227	7153
740	88290	7029
741	88352	6906
742	88414	6782
743	88477	6659
744	88538	6536
745	88596	6413
746	88656	6290
747	88719	6167
748	88787	6045
749	88851	5923
